Site,Archive or Source (site visit),Location in Archive or Date of My Visit,Type,Item (File Name),Title,PDF?
Bernau,My Visit,"June 16, 2012",Photos,DSC02989.JPG,Exterior Mosaic (FDGB [DDR]) 2 (1950 addition),
Bernau,My Visit,"June 16, 2012",Photos,DSC02990.JPG,2008 World Monuments Fund/Knoll Modernism Prize,
Bernau,My Visit,"June 16, 2012",Photos,DSC02991.jpg,BDA Prize,
Bernau,My Visit,"June 16, 2012",Photos,DSC02992.JPG,Description of Changes to Entrance Building,
Bernau,My Visit,"June 16, 2012",Photos,DSC02993.JPG,Map,
Bernau,My Visit,"June 16, 2012",Photos,DSC02994.JPG,Side-by-Side Images of Entrance,
Bernau,My Visit,"June 16, 2012",Photos,DSC02995.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC02996.JPG,"Street Sign, ""Hannes-Meyer-Campus""",
Bernau,My Visit,"June 16, 2012",Photos,DSC02997.JPG,Entrance,
Bernau,My Visit,"June 16, 2012",Photos,DSC02998.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC02999.JPG,Hermann Duncker placard/memorial,
Bernau,My Visit,"June 16, 2012",Photos,DSC03000.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03001.JPG,Lehrerhäuser Description,
Bernau,My Visit,"June 16, 2012",Photos,DSC03002.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03003.jpg,Site Map,
Bernau,My Visit,"June 16, 2012",Photos,DSC03004.jpg,Example of use of glass bricks,
Bernau,My Visit,"June 16, 2012",Photos,DSC03005.jpg,Speisesaal description,
Bernau,My Visit,"June 16, 2012",Photos,DSC03006.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03007.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03008.JPG,"South Side, looking NE, 1",
Bernau,My Visit,"June 16, 2012",Photos,DSC03009.JPG,"South Side, looking NE, 2",
Bernau,My Visit,"June 16, 2012",Photos,DSC03010.jpg,Path to Pond,
Bernau,My Visit,"June 16, 2012",Photos,DSC03011.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03012.jpg,Aula Description,
Bernau,My Visit,"June 16, 2012",Photos,DSC03013.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03014.JPG,1950 addition (placement of mosaic visible),
Bernau,My Visit,"June 16, 2012",Photos,DSC03015.JPG,1950 addition?,
Bernau,My Visit,"June 16, 2012",Photos,DSC03016.JPG,Entrance,
Bernau,My Visit,"June 16, 2012",Photos,DSC03017.JPG,Entrance and 1950 addition with mosaic,
Bernau,My Visit,"June 16, 2012",Photos,DSC03018.jpg,"1950 addition? Later addition, too?",
Bernau,My Visit,"June 16, 2012",Photos,DSC03019.JPG,Later addition?,
Bernau,My Visit,"June 16, 2012",Photos,DSC03020.JPG,1950 addition,
Bernau,My Visit,"June 16, 2012",Photos,DSC03021.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03022.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03023.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03024.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03025.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03026.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03027.JPG,"South side, 1:200 scale model",
Bernau,My Visit,"June 16, 2012",Photos,DSC03028.JPG,Scale model label,
Bernau,My Visit,"June 16, 2012",Photos,DSC03029.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03030.JPG,Glass bricks in bathroom,
Bernau,My Visit,"June 16, 2012",Photos,DSC03031.jpg,Bathroom,
Bernau,My Visit,"June 16, 2012",Photos,DSC03032.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03033.JPG,EU Funding Placard,
Bernau,My Visit,"June 16, 2012",Photos,DSC03034.JPG,"Cornerstone, ""29.7.1928""",
Bernau,My Visit,"June 16, 2012",Photos,DSC03035.jpg,School History Placard,
Bernau,My Visit,"June 16, 2012",Photos,DSC03036.jpg,Placard Identifying Architects,
Bernau,My Visit,"June 16, 2012",Photos,DSC03037.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03038.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03039.JPG,"Hallway, looking NE, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03040.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03041.jpg,Speisesaal,
Bernau,My Visit,"June 16, 2012",Photos,DSC03042.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03043.JPG,Speisesaal,
Bernau,My Visit,"June 16, 2012",Photos,DSC03044.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03045.JPG,Speisesaal windows (looking onto teachers' houses),
Bernau,My Visit,"June 16, 2012",Photos,DSC03047.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03048.JPG,Speisesaal (looking NE),
Bernau,My Visit,"June 16, 2012",Photos,DSC03049.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03050.jpg,,
